ลำดับ,ชื่อร้าน,ชื่อคนติดต่อ,ความสนิท(A/B/C),ช่องทาง,วันที่ทัก,ตอบกลับ,ส่งลิงก์เดโมแล้ว,สถานะ,วันติดตามครั้งถัดไป,วันติดตั้ง,เริ่มคิดเงิน,ราคา/เดือน,จ่ายล่าสุด,ครบกำหนดถัดไป,หมายเหตุ
1,,,A,LINE,,,,ยังไม่ทัก,,,,1900,,,
2,,,A,LINE,,,,ยังไม่ทัก,,,,1900,,,
3,,,A,LINE,,,,ยังไม่ทัก,,,,1900,,,
4,,,B,LINE,,,,ยังไม่ทัก,,,,1900,,,
5,,,B,LINE,,,,ยังไม่ทัก,,,,1900,,,
6,,,B,LINE,,,,ยังไม่ทัก,,,,2900,,,
7,,,B,LINE,,,,ยังไม่ทัก,,,,2900,,,
8,,,C,LINE,,,,ยังไม่ทัก,,,,2900,,,
9,,,C,LINE,,,,ยังไม่ทัก,,,,2900,,,
10,,,C,LINE,,,,ยังไม่ทัก,,,,2900,,,
