shot	filename
17	Man_speaking_in_noodle_shop_20260919033732.mp4
2	Man_crouching_against_wall_20260919033819.mp4
3	Man_on_stairs_looking_down_20260919033904.mp4
4	Man_caring_for_elderly_woman_20260919033943.mp4
5	Man_caring_for_elderly_woman_20260919034023.mp4
11	Man_speaking_in_noodle_shop_20260919034147.mp4
13	Men_working_in_noodle_shop_20260919034226.mp4
14	Shopkeeper_serving_noodles_in_shop_20260919034305.mp4
15	Man_reading_phone_on_staircase_20260919034346.mp4
16	Man_leaning_against_stairwell_wall_20260919034427.mp4
