tag	t0	t1
HOOK-1	0.18	2.64
HOOK-2	3.08	5.54
HOOK-3	5.54	7.38
HOOK-4	7.82	10.86
PATTERN-1	11.4	17.86
PATTERN-2	18.48	22.42
PATTERN-3	22.8	27.78
PATTERN-4	28.26	30.78
CONTEXT-1	31.3	35.44
CONTEXT-2	36.12	38.86
CONTEXT-3	39.66	43.16
CONTEXT-4	43.9	47.72
CONTEXT-5	48.5	54.22
MAIN-1	54.84	58.3
MAIN-2	58.3	61.84
MAIN-3	62.32	65.44
MAIN-4	66.12	68.32
MAIN-5	69.04	70.88
MAIN-6	71.44	73.08
MAIN-7	73.32	76.06
MAIN-8	76.36	79.92
MAIN-9	80.26	83.08
MAIN-10	83.4	86.58
MAIN-11	86.84	88.86
MAIN-12	89.32	93.24
MAIN-13	93.64	97.2
CURIOSITY-1	97.64	100.16
CURIOSITY-2	100.6	104.28
CURIOSITY-3	104.74	108.24
CURIOSITY-4	108.24	114.22
CURIOSITY-5	114.22	117.74
SUMMARY-1	118.2	119.32
SUMMARY-2	119.76	125.02
SUMMARY-3	125.4	128.96
SUMMARY-4	129.38	132.88
SUMMARY-5	133.52	137.26
SUMMARY-6	137.86	141.02
SUMMARY-7	141.48	145.64
SUMMARY-8	146.08	150.5
SUMMARY-9	150.8	152.64
