t,rms_db,low_db,mid_db,high_db
0.0232,-14.24,-20.82,-16.26,-28.87
0.0348,-8.54,-9.34,-17.70,-30.52
0.0464,17.65,16.85,9.94,-16.94
0.0580,33.95,33.30,25.41,-8.16
0.0697,39.30,38.50,31.56,-3.10
0.0813,43.02,42.03,36.09,-0.56
0.0929,45.23,44.15,38.66,-0.51
0.1045,47.59,45.79,42.90,4.45
0.1161,50.49,45.79,48.68,13.63
0.1277,50.77,44.84,49.48,14.70
0.1393,49.25,43.59,47.85,12.89
0.1509,47.82,43.09,46.01,9.78
0.1625,47.61,43.49,45.46,6.70
0.1741,47.67,43.43,45.60,7.41
0.1858,47.02,42.68,45.01,7.91
0.1974,44.17,40.61,41.65,8.01
0.2090,36.98,35.62,31.13,6.33
0.2206,31.14,25.87,29.11,17.39
0.2322,31.99,22.61,31.08,19.91
0.2438,31.78,18.86,31.30,18.55
0.2554,33.76,21.38,33.23,20.36
0.2670,34.27,31.39,30.75,19.17
0.2786,40.89,39.29,35.69,16.51
0.2902,45.31,41.44,42.99,16.77
0.3019,47.88,40.46,46.95,21.16
0.3135,49.11,38.61,48.62,24.51
0.3251,49.64,36.47,49.36,24.86
0.3367,49.43,35.69,49.20,22.84
0.3483,48.36,36.37,48.05,19.14
0.3599,47.17,37.17,46.69,17.99
0.3715,46.93,37.47,46.38,20.61
0.3831,46.03,37.59,45.28,24.31
0.3947,42.29,35.84,40.92,25.41
0.4063,34.63,29.30,30.21,29.48
0.4180,35.79,26.74,19.86,34.86
0.4296,38.83,25.18,22.00,38.21
0.4412,40.82,19.13,27.34,39.96
0.4528,38.62,25.33,29.52,36.48
0.4644,33.44,28.23,29.44,25.04
0.4760,37.67,33.92,35.16,14.86
0.4876,40.42,35.78,38.53,16.63
0.4992,41.66,36.58,39.99,18.95
0.5108,43.40,37.60,42.00,21.93
0.5224,44.72,38.65,43.40,23.57
0.5341,44.90,37.55,43.95,22.82
0.5457,44.61,34.20,44.16,20.88
0.5573,42.51,28.07,42.33,16.36
0.5689,37.18,21.45,37.03,14.55
0.5805,30.78,22.33,29.96,14.87
0.5921,26.46,22.21,24.30,6.81
0.6037,23.93,21.41,20.08,-11.69
0.6153,21.91,20.60,13.28,-15.63
0.6269,25.20,19.34,23.53,5.67
0.6385,36.67,24.18,36.35,16.44
0.6502,42.92,29.48,42.65,22.66
0.6618,45.74,32.29,45.49,23.99
0.6734,46.36,34.49,46.02,23.42
0.6850,44.06,35.78,43.31,21.68
0.6966,37.75,34.54,34.87,15.95
0.7082,32.13,31.37,23.69,12.83
0.7198,29.90,28.05,23.63,17.56
0.7314,32.29,22.43,18.47,31.43
0.7430,34.64,22.75,14.34,34.25
0.7546,33.50,27.08,10.82,32.27
0.7663,32.21,27.97,9.00,29.95
0.7779,27.94,23.89,11.75,24.86
0.7895,25.55,23.78,16.96,14.74
0.8011,26.73,24.06,22.13,10.48
0.8127,28.09,25.21,23.97,11.47
0.8243,33.99,26.81,32.81,15.28
0.8359,40.76,30.29,40.12,21.81
0.8475,44.66,33.46,44.13,24.86
0.8591,46.32,34.75,45.89,23.91
0.8707,47.19,36.22,46.74,22.48
0.8824,46.28,36.20,45.76,20.44
0.8940,42.02,37.04,40.31,11.81
0.9056,42.79,37.38,41.29,6.03
0.9172,44.51,38.47,43.24,10.12
0.9288,45.42,39.08,44.26,12.10
0.9404,45.61,39.36,44.43,11.21
0.9520,44.10,39.40,42.29,6.24
0.9636,38.41,35.57,35.12,-0.44
0.9752,28.63,27.79,19.70,0.63
0.9868,25.59,21.57,21.86,17.29
0.9985,31.07,19.08,28.32,26.48
1.0101,34.02,19.77,31.39,29.43
1.0217,33.92,24.63,31.44,28.16
1.0333,32.99,26.05,30.96,24.63
1.0449,34.37,32.21,29.96,17.76
1.0565,40.70,38.55,36.57,9.55
1.0681,44.73,39.59,43.13,11.31
1.0797,46.87,39.31,46.01,16.73
1.0913,46.82,38.24,46.11,20.20
1.1029,45.44,36.50,44.74,21.21
1.1146,45.16,34.36,44.72,19.75
1.1262,44.79,32.43,44.51,16.80
1.1378,42.69,31.80,42.31,13.11
1.1494,37.04,28.45,36.38,5.88
1.1610,25.76,20.59,23.47,11.84
1.1726,24.65,18.76,19.23,19.99
1.1842,25.19,20.35,16.86,21.27
1.1958,26.47,24.56,11.67,20.07
1.2074,25.69,22.60,10.33,20.73
