t,flux_score,centroid_hz,high_ratio,low_ratio
0.1161,0.3564,1303,0.000,0.339
0.3019,0.2914,1938,0.002,0.181
0.5108,0.2017,1775,0.007,0.263
0.6618,0.2662,2485,0.007,0.045
0.8359,0.3338,2534,0.013,0.090
1.0681,0.2886,1277,0.000,0.306
1.2655,0.2256,1215,0.001,0.055
1.4164,0.2476,1263,0.000,0.175
1.6486,0.1613,1002,0.000,0.228
1.9621,0.3966,1603,0.005,0.053
2.2059,0.2624,874,0.001,0.167
2.3917,0.2806,1110,0.000,0.101
2.6471,0.4336,1156,0.000,0.149
2.7748,0.0798,4876,0.635,0.054
3.0070,0.5087,1810,0.003,0.070
3.1811,0.4177,1602,0.002,0.143
3.3901,0.1316,1290,0.000,0.306
3.5294,0.2032,2127,0.006,0.059
3.7268,0.1564,2411,0.006,0.104
3.9474,0.3882,1524,0.004,0.176
4.0867,0.4175,1278,0.000,0.121
4.3189,0.4713,1375,0.001,0.456
4.4582,0.5070,6566,0.914,0.031
4.7020,0.2754,4885,0.496,0.262
4.9226,0.1895,1305,0.001,0.158
5.0736,0.0951,1394,0.001,0.593
5.3406,0.3168,2364,0.046,0.106
5.5728,0.2420,1494,0.002,0.031
5.8398,0.1426,1151,0.001,0.432
6.1997,0.3859,1096,0.000,0.087
6.3507,0.3971,1075,0.000,0.205
6.6525,0.6110,1137,0.001,0.030
6.8499,0.1987,1497,0.002,0.228
7.0473,0.1115,901,0.002,0.441
7.4304,0.5246,2449,0.016,0.130
7.7555,0.2728,1153,0.000,0.059
7.9528,0.1988,2913,0.045,0.347
8.2199,0.3164,1128,0.000,0.341
8.4985,0.2434,1497,0.001,0.185
8.6494,0.2737,698,0.000,0.204
8.8584,0.1476,764,0.000,0.841
9.3693,0.4472,1588,0.003,0.095
9.5202,0.1955,1157,0.000,0.065
9.7988,0.6660,6950,0.987,0.010
10.0542,0.1689,920,0.003,0.604
10.2980,0.5021,1211,0.001,0.085
10.4954,0.3979,6940,0.984,0.011
10.7973,0.3145,1142,0.000,0.077
10.9250,0.6000,1548,0.005,0.033
11.4707,0.3937,1446,0.002,0.100
11.6912,0.3538,6585,0.927,0.049
11.9118,0.0550,974,0.003,0.438
12.0976,0.2523,1517,0.002,0.024
12.4459,0.2278,1045,0.000,0.376
12.6549,0.0854,1301,0.001,0.542
12.8290,0.6454,1205,0.001,0.110
12.9683,0.6414,6730,0.986,0.006
13.0961,0.1688,873,0.000,0.055
13.2818,0.1119,923,0.002,0.542
13.4908,0.3948,2015,0.004,0.099
13.6998,0.1625,844,0.000,0.082
13.8739,0.0970,3015,0.014,0.076
14.2106,0.5022,1665,0.004,0.056
14.3848,0.3048,966,0.000,0.031
14.5589,0.2625,1107,0.000,0.132
14.7215,0.1790,1067,0.000,0.159
14.8492,0.0633,1734,0.005,0.244
15.2787,0.4810,1695,0.003,0.086
15.4761,0.3390,972,0.000,0.041
15.6154,0.5538,1232,0.000,0.088
15.7663,0.0737,1501,0.000,0.564
15.9289,0.3057,1297,0.001,0.288
16.3933,0.5943,1524,0.005,0.119
16.5326,0.2012,821,0.000,0.676
16.8577,0.4280,1478,0.002,0.153
17.0899,0.0962,1076,0.001,0.287
17.2408,0.4970,1681,0.004,0.125
17.4150,0.3405,1034,0.000,0.220
17.8445,0.3849,6878,0.999,0.000
17.9722,0.2088,700,0.000,0.137
18.1348,0.2415,1406,0.002,0.182
18.5992,0.3343,1087,0.000,0.150
19.1681,0.2815,703,0.000,0.155
19.3190,0.2841,763,0.000,0.190
19.4815,0.1973,1122,0.002,0.249
19.6441,0.2075,1406,0.001,0.205
19.9808,0.1668,2079,0.007,0.164
20.3871,0.5711,1261,0.001,0.090
20.5148,0.2804,5780,0.894,0.001
20.7238,0.4272,1583,0.002,0.024
20.9328,0.1330,1448,0.000,0.785
21.2695,0.2868,1734,0.002,0.275
21.5133,0.2481,1720,0.001,0.274
21.7339,0.2807,1073,0.001,0.158
21.9545,0.1686,1375,0.001,0.050
22.1170,0.3945,6944,0.998,0.000
22.4421,0.2631,2083,0.009,0.261
22.6278,0.2526,6213,0.981,0.000
23.1155,0.5688,6623,0.939,0.039
23.5683,0.3227,1146,0.001,0.114
23.7308,0.2313,1258,0.001,0.058
23.9398,0.5164,1298,0.003,0.067
24.0907,0.0899,1087,0.000,0.621
24.2532,0.2299,1101,0.000,0.059
24.6248,0.0826,7158,0.531,0.016
24.7641,0.5179,1502,0.003,0.054
25.0195,0.3179,989,0.000,0.328
25.2285,0.2544,1343,0.000,0.229
25.4026,0.4469,1071,0.000,0.304
25.7741,0.4534,1484,0.002,0.069
25.9599,0.3030,1391,0.001,0.099
26.2850,0.1389,7619,0.733,0.012
26.4475,0.2992,1816,0.008,0.321
26.5985,0.5286,1087,0.000,0.100
