frame,t,diff
0,0.0000,0.00000
1,0.0333,0.00828
2,0.0667,0.00787
3,0.1000,0.01813
4,0.1333,0.00600
5,0.1667,0.01806
6,0.2000,0.01127
7,0.2333,0.01688
8,0.2667,0.02290
9,0.3000,0.02770
10,0.3333,0.02186
11,0.3667,0.03334
12,0.4000,0.02371
13,0.4333,0.02077
14,0.4667,0.02056
15,0.5000,0.02462
16,0.5333,0.01903
17,0.5667,0.02919
18,0.6000,0.01781
19,0.6333,0.01637
20,0.6667,0.01793
21,0.7000,0.01872
22,0.7333,0.01211
23,0.7667,0.02096
24,0.8000,0.01103
25,0.8333,0.00883
26,0.8667,0.00891
27,0.9000,0.01201
28,0.9333,0.00876
29,0.9667,0.01285
30,1.0000,0.01231
31,1.0333,0.00505
32,1.0667,0.01023
33,1.1000,0.01294
34,1.1333,0.00834
35,1.1667,0.01417
36,1.2000,0.00835
37,1.2333,0.00632
38,1.2667,0.00702
39,1.3000,0.01377
40,1.3333,0.00970
41,1.3667,0.01616
42,1.4000,0.00741
43,1.4333,0.00577
44,1.4667,0.00604
45,1.5000,0.01205
46,1.5333,0.00626
47,1.5667,0.01274
48,1.6000,0.00593
49,1.6333,0.00327
50,1.6667,0.00660
51,1.7000,0.00638
52,1.7333,0.00465
53,1.7667,0.00839
54,1.8000,0.00868
55,1.8333,0.00719
56,1.8667,0.59704
57,1.9000,0.00680
58,1.9333,0.00725
59,1.9667,0.00834
60,2.0000,0.01250
61,2.0333,0.01292
62,2.0667,0.01070
63,2.1000,0.00788
64,2.1333,0.00688
65,2.1667,0.00849
66,2.2000,0.00860
67,2.2333,0.00843
68,2.2667,0.00654
69,2.3000,0.00585
70,2.3333,0.00649
71,2.3667,0.00571
72,2.4000,0.00578
73,2.4333,0.00621
74,2.4667,0.00528
75,2.5000,0.00556
76,2.5333,0.00604
77,2.5667,0.00496
78,2.6000,0.00884
79,2.6333,0.04534
80,2.6667,0.08893
81,2.7000,0.09924
82,2.7333,0.08637
