line_id	t0	t1	text
0	0.000	1.740	มึงเคยใช้ XM Trade Forex ไหม?
1	1.940	5.080	แล้วมึงรู้ไหมว่าบันชีสแทนดาตของ XM สปรติแม่งสูงชิบหาย?
2	5.300	7.080	คำถามคือ ทำไมมันต้องสูง?
3	7.280	9.040	คุณจะบอกความจริงที่ไม่มีใครบอกมึง
4	9.220	10.080	สปรติที่สูง
5	10.220	14.840	ไม่ได้สูงเพราะตลาดแต่มันสูงเพราะมีเงินบางส่วนถูกกากไว้กากไว้ทำอะไร?
6	15.180	29.980	กากไว้เป็นรีบเวต
7	33.100	37.540	คำถามคือ ถ้ารีบเวตมันมี $15 แล้วอีก $15 หายไปไหน?
8	37.740	39.580	กูตอบให้ มันไปอยู่กับ IB
9	39.780	42.440	ที่ช่วนมึงมาเทศและที่หน้าเท่ากว่าคือ IB
10	42.580	45.940	พวกนั้นคืนให้มึงนิดเดียวหรือบางคนไม่คืนให้มึงเลย
11	46.200	48.200	แปลกตรงๆคือ มึงเป็นคนกด
12	48.480	50.700	มึงเป็นคนเสียงแต่คนอื่นกินเงินมึงเงียบ
13	51.120	52.200	หูพูดตรงนี้เลยนะ
14	52.440	57.580	ใครใช้ XM แล้วได้ ρีบเวตไม่ถึง $15 ต่อหลอดมึงกำลังเสียเบียบใครใช้ X-ness
15	57.700	61.020	แล้วได้คืนไม่ถึง $8 ต่อหลอดมึงก็เสียผลประโยชน์เหมือนกัน
16	61.320	66.460	ตลาดมัน hod พอแล้วอย่ามางโง่เสียเงินให้ระบบอีกใครฟังมาถึงตรงนี้กูเชื่อว่า
17	66.580	70.180	มึงไม่อยากเสียเงินฟรีอีกต่อไปใครอยากได้ xm หรือ xnes
18	70.420	71.000	เรียดเต็ม
19	71.220	71.800	ทักกูมา
20	72.100	76.080	บโรคอื่นก็มีคืนเหมือนกันเพราะกูดิวตรงกับโรคเกอร์ ไม่ผ่าน a ย่น
21	76.260	80.200	ไม่ผ่านคนกลางไม่กักเงินมึง มึงดูตัวเลก มึงตัดสินใจเอง
22	80.380	84.960	แต่จำไว้ เงินทุกหลอดที่มึงกดมันควรเป็นของมึง ไม่ใช่ของคนอื่น
