frame,t,diff
0,0.0000,0.00000
1,0.0333,0.00036
2,0.0667,0.00028
3,0.1000,0.00623
4,0.1333,0.00092
5,0.1667,0.00559
6,0.2000,0.00241
7,0.2333,0.00160
8,0.2667,0.00161
9,0.3000,0.00377
10,0.3333,0.00150
11,0.3667,0.00414
12,0.4000,0.00102
13,0.4333,0.00081
14,0.4667,0.00100
15,0.5000,0.00383
16,0.5333,0.00071
17,0.5667,0.00423
18,0.6000,0.00015
19,0.6333,0.00123
20,0.6667,0.00125
21,0.7000,0.00349
22,0.7333,0.00023
23,0.7667,0.00321
24,0.8000,0.00071
25,0.8333,0.00022
26,0.8667,0.00016
27,0.9000,0.00272
28,0.9333,0.00033
29,0.9667,0.00079
30,1.0000,0.00203
31,1.0333,0.00042
32,1.0667,0.00091
33,1.1000,0.00215
34,1.1333,0.00086
35,1.1667,0.00188
36,1.2000,0.00088
37,1.2333,0.00000
38,1.2667,0.00000
39,1.3000,0.00187
40,1.3333,0.00000
41,1.3667,0.00135
42,1.4000,0.00005
43,1.4333,0.00000
44,1.4667,0.00000
45,1.5000,0.00133
46,1.5333,0.00043
47,1.5667,0.00044
48,1.6000,0.00005
49,1.6333,0.00004
50,1.6667,0.00006
51,1.7000,0.00005
52,1.7333,0.00008
53,1.7667,0.00000
54,1.8000,0.00000
55,1.8333,0.00000
56,1.8667,0.84835
57,1.9000,0.00153
58,1.9333,0.00156
59,1.9667,0.00153
60,2.0000,0.00154
61,2.0333,0.00140
62,2.0667,0.00153
63,2.1000,0.00145
64,2.1333,0.00154
65,2.1667,0.00150
66,2.2000,0.00141
67,2.2333,0.00168
68,2.2667,0.00167
69,2.3000,0.00163
70,2.3333,0.00163
71,2.3667,0.00158
72,2.4000,0.00160
73,2.4333,0.00159
74,2.4667,0.00161
75,2.5000,0.00160
76,2.5333,0.00149
77,2.5667,0.00146
78,2.6000,0.00154
79,2.6333,0.02223
80,2.6667,0.04786
81,2.7000,0.05148
82,2.7333,0.07328
83,2.7667,0.08515
84,2.8000,0.08156
85,2.8333,0.04466
86,2.8667,0.01974
87,2.9000,0.00718
88,2.9333,0.00220
89,2.9667,0.00216
90,3.0000,0.00209
91,3.0333,0.00271
92,3.0667,0.00347
