seg_id	word_idx	t0	t1	prob	word
0	0	0.000	0.140	0.324	ม
0	1	0.140	0.180	0.950	ึ
0	2	0.180	0.200	0.991	ง
0	3	0.200	0.340	0.867	เค
0	4	0.340	0.380	0.998	ย
0	5	0.380	0.520	0.958	ใช
0	6	0.520	0.600	0.969	้
0	7	0.600	0.780	0.318	 X
0	8	0.780	0.940	0.720	M
0	9	0.940	1.120	0.314	 Trade
0	10	1.120	1.360	0.827	 Fore
0	11	1.360	1.580	0.996	x
0	12	1.640	1.700	0.687	 ไ
0	13	1.700	1.740	0.983	หม?
1	0	1.940	2.000	0.145	แล
1	1	2.000	2.020	0.595	้
1	2	2.020	2.020	0.919	ว
1	3	2.020	2.140	0.820	ม
1	4	2.140	2.160	0.362	ึ
1	5	2.160	2.160	0.988	ง
1	6	2.160	2.280	0.997	ร
1	7	2.280	2.300	0.992	ู้
1	8	2.300	2.440	0.892	ไ
1	9	2.440	2.440	0.991	หม
1	10	2.440	2.580	0.963	ว
1	11	2.580	2.600	0.995	่
1	12	2.600	2.600	0.862	า
1	13	2.600	2.720	0.674	บ
1	14	2.720	2.720	0.607	ั
1	15	2.720	2.720	0.815	น
1	16	2.720	2.840	0.659	ช
1	17	2.840	2.860	0.877	ี
1	18	2.860	2.980	0.355	ส
1	19	2.980	3.080	0.120	แ
1	20	3.080	3.080	0.613	ท
1	21	3.080	3.120	0.822	น
1	22	3.120	3.240	0.871	ด
1	23	3.240	3.280	0.767	า
1	24	3.280	3.280	0.568	ต
1	25	3.280	3.400	0.676	ข
1	26	3.400	3.440	0.999	อง
1	27	3.440	3.660	0.975	 X
1	28	3.660	3.840	0.973	M
1	29	3.900	4.000	0.382	 ส
1	30	4.000	4.040	0.426	ป
1	31	4.040	4.160	0.584	ร
1	32	4.160	4.180	0.046	ต
1	33	4.180	4.280	0.649	ิ
1	34	4.280	4.360	0.921	แ
1	35	4.360	4.360	0.980	ม
1	36	4.360	4.380	0.599	่
1	37	4.380	4.440	0.997	ง
1	38	4.440	4.560	0.909	ส
1	39	4.560	4.600	0.421	ู
1	40	4.600	4.620	0.994	ง
1	41	4.620	4.760	0.826	ช
1	42	4.760	4.780	0.906	ิ
1	43	4.780	4.820	0.853	บ
1	44	4.820	4.980	0.976	ห
1	45	4.980	5.080	0.951	าย?
2	0	5.300	5.340	0.742	ค
2	1	5.340	5.440	0.990	ำ
2	2	5.440	5.620	0.983	ถ
2	3	5.620	5.680	0.997	าม
2	4	5.680	5.880	0.978	ค
2	5	5.880	5.940	0.996	ื
2	6	5.940	6.060	0.947	อ
2	7	6.160	6.260	0.987	 ทำ
2	8	6.260	6.440	0.812	ไม
2	9	6.440	6.540	0.994	ม
2	10	6.540	6.580	0.967	ั
2	11	6.580	6.580	0.995	น
2	12	6.580	6.660	0.977	ต
2	13	6.660	6.720	0.992	้
2	14	6.720	6.740	0.999	อง
2	15	6.740	6.900	0.989	ส
2	16	6.900	6.980	0.928	ู
2	17	6.980	7.080	0.998	ง?
3	0	7.280	7.340	0.824	ค
3	1	7.340	7.380	0.654	ุ
3	2	7.380	7.380	0.546	ณ
3	3	7.380	7.480	0.986	จะ
3	4	7.480	7.580	0.994	บ
3	5	7.580	7.620	0.997	อก
3	6	7.620	7.780	0.988	ค
3	7	7.780	7.800	0.987	ว
3	8	7.800	7.840	1.000	าม
3	9	7.840	7.980	0.967	จ
3	10	7.980	8.000	0.944	ร
3	11	8.000	8.020	0.996	ิ
3	12	8.020	8.020	0.994	ง
3	13	8.020	8.140	0.866	ท
3	14	8.140	8.160	0.998	ี่
3	15	8.160	8.260	0.975	ไม
3	16	8.260	8.300	0.998	่
3	17	8.300	8.380	0.997	ม
3	18	8.380	8.380	0.992	ี
3	19	8.380	8.520	0.971	ใ
3	20	8.520	8.540	0.999	คร
3	21	8.540	8.720	0.997	บ
3	22	8.720	8.760	0.999	อก
3	23	8.760	8.920	0.841	ม
3	24	8.920	8.960	0.995	ึ
3	25	8.960	9.040	0.998	ง
4	0	9.220	9.400	0.036	ส
4	1	9.400	9.500	0.936	ป
4	2	9.500	9.580	0.974	ร
4	3	9.580	9.620	0.574	ต
4	4	9.620	9.680	0.998	ิ
4	5	9.680	9.760	0.911	ท
4	6	9.760	9.780	0.994	ี่
4	7	9.780	9.940	0.991	ส
4	8	9.940	10.000	0.968	ู
4	9	10.000	10.080	0.998	ง
4	10	10.220	10.340	0.993	 ไม
4	11	10.340	10.400	0.998	่
4	12	10.400	10.460	0.998	ได
4	13	10.460	10.460	0.998	้
4	14	10.460	10.600	0.993	ส
4	15	10.600	10.660	0.979	ู
4	16	10.660	10.680	0.999	ง
4	17	10.680	10.840	0.883	เพ
