frame,t,yellow_frac
0,0.0000,0.00000
1,0.0333,0.00000
2,0.0667,0.00000
3,0.1000,0.00000
4,0.1333,0.00000
5,0.1667,0.00000
6,0.2000,0.00000
7,0.2333,0.00000
8,0.2667,0.00000
9,0.3000,0.00000
10,0.3333,0.00000
11,0.3667,0.00000
12,0.4000,0.00000
13,0.4333,0.00000
14,0.4667,0.00000
15,0.5000,0.00000
16,0.5333,0.00000
17,0.5667,0.00000
18,0.6000,0.00000
19,0.6333,0.00000
20,0.6667,0.00000
21,0.7000,0.00000
22,0.7333,0.00000
23,0.7667,0.00000
24,0.8000,0.00000
25,0.8333,0.00000
26,0.8667,0.00000
27,0.9000,0.00000
28,0.9333,0.00000
29,0.9667,0.00000
30,1.0000,0.00000
31,1.0333,0.00000
32,1.0667,0.00000
33,1.1000,0.00000
34,1.1333,0.00000
35,1.1667,0.00000
36,1.2000,0.00000
37,1.2333,0.00000
38,1.2667,0.00000
39,1.3000,0.00000
40,1.3333,0.00000
41,1.3667,0.00000
42,1.4000,0.00000
43,1.4333,0.00000
44,1.4667,0.00000
45,1.5000,0.00000
46,1.5333,0.00000
47,1.5667,0.00000
48,1.6000,0.00000
49,1.6333,0.00000
50,1.6667,0.00000
51,1.7000,0.00000
52,1.7333,0.00000
53,1.7667,0.00000
54,1.8000,0.00000
55,1.8333,0.00000
56,1.8667,0.00000
57,1.9000,0.00000
58,1.9333,0.00000
59,1.9667,0.00000
60,2.0000,0.00000
61,2.0333,0.00000
62,2.0667,0.00000
63,2.1000,0.00000
64,2.1333,0.00000
65,2.1667,0.00000
66,2.2000,0.00000
67,2.2333,0.00000
68,2.2667,0.00000
69,2.3000,0.00000
70,2.3333,0.00000
71,2.3667,0.00000
72,2.4000,0.00000
73,2.4333,0.00000
74,2.4667,0.00000
75,2.5000,0.00000
76,2.5333,0.00000
77,2.5667,0.00000
78,2.6000,0.00000
79,2.6333,0.00000
80,2.6667,0.00000
81,2.7000,0.00000
82,2.7333,0.00000
83,2.7667,0.00000
84,2.8000,0.00000
85,2.8333,0.00000
86,2.8667,0.00000
87,2.9000,0.00000
88,2.9333,0.00000
89,2.9667,0.00000
90,3.0000,0.00000
91,3.0333,0.00000
92,3.0667,0.00000
93,3.1000,0.00000
94,3.1333,0.00000
95,3.1667,0.00000
96,3.2000,0.00000
97,3.2333,0.00000
98,3.2667,0.00000
99,3.3000,0.00000
100,3.3333,0.00000
101,3.3667,0.00000
102,3.4000,0.00000
103,3.4333,0.00000
104,3.4667,0.00000
105,3.5000,0.00000
106,3.5333,0.00000
107,3.5667,0.00000
108,3.6000,0.00000
109,3.6333,0.00000
110,3.6667,0.00000
111,3.7000,0.00000
112,3.7333,0.00000
113,3.7667,0.00000
114,3.8000,0.00000
115,3.8333,0.00000
116,3.8667,0.00000
117,3.9000,0.00000
118,3.9333,0.00000
119,3.9667,0.00000
120,4.0000,0.00000
121,4.0333,0.00000
122,4.0667,0.00000
123,4.1000,0.00000
124,4.1333,0.00000
125,4.1667,0.00000
126,4.2000,0.00000
127,4.2333,0.00000
128,4.2667,0.00000
129,4.3000,0.00000
130,4.3333,0.00000
131,4.3667,0.00000
132,4.4000,0.00000
133,4.4333,0.00000
134,4.4667,0.00000
135,4.5000,0.00000
136,4.5333,0.00000
137,4.5667,0.00000
138,4.6000,0.00000
139,4.6333,0.00000
140,4.6667,0.00000
141,4.7000,0.00000
142,4.7333,0.00000
143,4.7667,0.00000
144,4.8000,0.00000
145,4.8333,0.00000
146,4.8667,0.00000
