shot	act	dur_s	chips	prompt_sha	status	flow_clip_id	file	sha256	got_dur	attempts	note
157	7	8	@jae_muay,@lung_somchai,@noodle_shop_thriving	89a51bbf920e62e124dc83585df4230dd7865bc7d811bbed439aea7eb91e995b	verified		C:\mooniex\out\banchi-ACT7\shot-157.mp4	730d65f2a8981031a5597537ebaa3b163457a33c3763fcd9439f7318ffe903e5	8.0s 1080x1920	1	
158	7	8	@jae_muay,@lung_somchai,@noodle_shop_thriving	03feb86e1ff8cc28959ace68836e8d7b8c54b5d8f1098ec0562b4f9178be358c	verified		C:\mooniex\out\banchi-ACT7\shot-158.mp4	79360e10b473bcbb1d4ffce7278e2ecc161eaacb2b0991d6e5fd089ed7ed61a5	8.0s 1080x1920	1	
159	7	10	@jae_muay,@lung_somchai,@noodle_shop_thriving	3e303b5138a727887719c334bbf965351e1970394b996b8b11ce7a88fbb956e4	verified		C:\mooniex\out\banchi-ACT7\shot-159.mp4	b8e31e8bc4ef566e1bdecd1e5d1250d9c544c8be4749f3079413c67556cf3310	10.0s 1080x1920	1	
160	7	8	@nong_daeng,@jae_muay,@noodle_shop_thriving	4c1984353f09ce7e9f1e3713d32e40eea074a28c14f6bac8dab70e7751a84015	verified		C:\mooniex\out\banchi-ACT7\shot-160.mp4	04415a79c46770bdb5b8868c39478185c4d8df57983417ab7154fb2abe112e5c	8.0s 1080x1920	1	
161	7	8	@nong_daeng,@jae_muay,@noodle_shop_thriving	c3c7682aa4d3700ff8bf873dd8d61df5a710788fffda332d1a57b45451a4e7b6	verified		C:\mooniex\out\banchi-ACT7\shot-161.mp4	40517dfc8b42425c348fda016f0f1b51a9a8c79ddf32a3a038ada0a9b3659b60	8.0s 1080x1920	1	
162	7	8	@jae_muay,@nong_daeng,@noodle_shop_thriving	333231142b0a739ff8c35e55da1a4d42fe8f6a62d2096d24447705ccc6ae05a6	verified		C:\mooniex\out\banchi-ACT7\shot-162.mp4	2c8760dc67f94a956fdd962931592a95aad1f3a10e517e4e221fa41f83e75897	8.0s 1080x1920	1	
163	7	10	@jae_muay,@nong_daeng,@noodle_shop_thriving	82f3e2085bfaa7b075cb08dace3eb7f06b5f36c0264f37a0967a21ea69683bcc	verified		C:\mooniex\out\banchi-ACT7\shot-163.mp4	1c9170e7840fd32d29fd7e288535d449d9693bc28ed8fbba0b521d0e32ed88ef	10.0s 1080x1920	1	
164	7	8	@lung_somchai,@upstairs_bedroom	bbb0e60198ceb5ed0514e16ba74f807480938ac79b66867625d8258a68daee64	verified		C:\mooniex\out\banchi-ACT7\shot-164.mp4	c488e0f74f4e9d8359d82ebcae35bd22448d9386fade0bffc3eb1bc336603421	8.0s 1080x1920	1	
165	7	8	@lung_somchai,@bedrail_marks	71f0259f928e9e4eceb85261728f85abd187a4d52260f2145b8f780d7edfcac0	verified		C:\mooniex\out\banchi-ACT7\shot-165.mp4	0ab92fd1a0f6f67bb0d6361baa56c37805b9570fc59a28d1069e61215f072b4f	8.0s 1080x1920	1	
166	7	8	@nong_daeng,@lung_somchai,@upstairs_bedroom	756e5307a3913be78b5506c63141c1b72581064a59bf0fdf2b619eb02f1a4698	verified		C:\mooniex\out\banchi-ACT7\shot-166.mp4	86c89eaf528305addbe417e3cda7de886a86080c5b581e1e2fe38825b6a369f3	8.0s 1080x1920	1	
167	7	8	@lung_somchai,@nong_daeng,@upstairs_bedroom	1e2292e40b44e96ff9812b392887dba669b510a33681baa21ed0c6190a524157	verified		C:\mooniex\out\banchi-ACT7\shot-167.mp4	5f862049170029c5705f191fe367219898556266d9c3e6c63909aadd248c516a	8.0s 1080x1920	1	
168	7	8	@nong_daeng,@lung_somchai,@upstairs_bedroom	e49c38e95eb5cc2670dc32647027174b160a19d7977521061f3fd043cb4f5ea2	verified		C:\mooniex\out\banchi-ACT7\shot-168.mp4	e0fbe91ff3a9fa1cd7c51c2d16a7b6cf513c64ac74813fbc20f4d1e40914ffd9	8.0s 1080x1920	1	
169	7	10	@nong_daeng,@lung_somchai,@upstairs_bedroom	bc0d834317f53a23e6251f71f656c5812cbc63478ec5c73496b8ee5da81593c0	verified		/Users/gob/Desktop/banchi-refire-0923/shot-169.mp4	16c6518c1d106164709118f39207c9e8558195de5e994d2e202a50090bab91bb	10.0s 1080x1920	2	
