path	branch	remote	url
Developer/video-use	main	origin	https://github.com/browser-use/video-use
MoonieXHQ	main	origin	https://github.com/PASAKON/MoonieX-HQ.git
MoonieXHQ/Agents/Core	main	origin	https://github.com/PASAKON/Agents-Core.git
MoonieXHQ/Agents/Core/external/ai-video-storyboard-skill	main	origin	https://github.com/aicontentskills/ai-video-storyboard-skill.git
MoonieXHQ/Agents/Memory	main	origin	https://github.com/PASAKON/Agents-Memory.git
MoonieXHQ/Agents/Rules	main	origin	https://github.com/PASAKON/Agents-Rules.git
MoonieXHQ/Agents/Skills	main	origin	https://github.com/PASAKON/Agents-Skills.git
MoonieXHQ/Agents/Wikis	main	origin	https://github.com/PASAKON/Agents-Wikis.git
MoonieXHQ/External/9arm-skills	main	origin	https://github.com/thananon/9arm-skills.git
MoonieXHQ/External/agentkits-marketing	main	origin	https://github.com/aitytech/agentkits-marketing
MoonieXHQ/External/arb-refs/polymarket-arbitrage	main	origin	https://github.com/ImMike/polymarket-arbitrage
MoonieXHQ/External/arb-refs/polymarket-kalshi-arbitrage-bot	main	origin	https://github.com/defi-ape/polymarket-kalshi-arbitrage-bot
MoonieXHQ/External/arb-refs/polymarket-mcp-server	main	origin	https://github.com/caiovicentino/polymarket-mcp-server
MoonieXHQ/External/cost-guardian-review	main	origin	https://github.com/Manavarya09/cost-guardian.git
MoonieXHQ/External/diagram-design	HEAD	origin	https://github.com/cathrynlavery/diagram-design.git
MoonieXHQ/External/marketingskills	main	origin	https://github.com/coreyhaines31/marketingskills
MoonieXHQ/External/paperclip	master	origin	https://github.com/paperclipai/paperclip.git
MoonieXHQ/External/wondelai-skills	main	origin	https://github.com/wondelai/skills.git
MoonieXHQ/Projects/LinkReed/Webapp	main	origin	https://github.com/PASAKON/LinkReed-Webapp.git
MoonieXHQ/Projects/LungNote/Design	main	origin	https://github.com/PASAKON/LungNote-design.git
MoonieXHQ/Projects/LungNote/Mcp	main	origin	https://github.com/PASAKON/LungNote-MCP.git
MoonieXHQ/Projects/LungNote/Webapp	main	origin	https://github.com/PASAKON/LungNote-webapp.git
MoonieXHQ/Projects/LungNote/Wikis	main	origin	https://github.com/PASAKON/LungNote-wikis.git
MoonieXHQ/Projects/MoonieX/AlphaTrader	main	origin	https://github.com/PASAKON/MoonieX-AlphaTrader.git
MoonieXHQ/Projects/MoonieX/AlphaTrader	main	upstream	https://github.com/GiordanoSouza/polymarket-copy-trading-bot.git
MoonieXHQ/Projects/MoonieX/ClaudeFlow	main	origin	https://github.com/PASAKON/MoonieX-ClaudeFlow.git
MoonieXHQ/Projects/MoonieX/ClaudeSign	mooniex-main	mooniex	https://github.com/PASAKON/mooniex-claudesign.git
MoonieXHQ/Projects/MoonieX/ClaudeSign	mooniex-main	upstream	https://github.com/nexu-io/open-design.git
MoonieXHQ/Projects/MoonieX/ComfyRunpod	main	origin	https://github.com/PASAKON/MoonieX-ComfyRunpod.git
MoonieXHQ/Projects/MoonieX/Console	main	origin	https://github.com/PASAKON/MoonieX-Console.git
MoonieXHQ/Projects/MoonieX/CookierunBot	main	origin	https://github.com/PASAKON/MoonieX-CookierunBot.git
MoonieXHQ/Projects/MoonieX/LunarAgent	main	origin	https://github.com/PASAKON/MoonieX-LunarAgent.git
MoonieXHQ/Projects/MoonieX/Scriptable	main	origin	https://github.com/PASAKON/MoonieX-Scriptable.git
MoonieXHQ/Projects/MoonieX/WebApp	bootstrap/landing-mvp	origin	https://github.com/PASAKON/MoonieX-WebApp.git
MoonieXHQ/Projects/MoonieX/WebDesign	ui/accordion-component	origin	https://github.com/PASAKON/MoonieX-WebDesign.git
MoonieXHQ/Projects/WarpClip/Design	main	origin	https://github.com/PASAKON/WarpClip-design.git
MoonieXHQ/Projects/WarpClip/Webapp	main	origin	https://github.com/PASAKON/WarpClip-webapp.git
MoonieXHQ/Projects/WarpClip/Wikis	wiki/cfo-budget-workflow	origin	https://github.com/PASAKON/WarpClip-wikis.git
