shot	act	dur_s	chips	prompt_sha	status	flow_clip_id	file	sha256	got_dur	attempts	note
1	1	8	@sia__face,@yai__face,@kla__face,@lan__busy,@sack,@yard_scale,@sia__boss,@yai__collect,@kla__school	4fd1e931a1918f2d83eef7da6c73e52eb7fb0332d3850dac2963077180227364	verified		/Users/gob/MoonieXHQ/Work/task-c2723478/out/ACT1/shot-01.mp4	05da7e692bf028bb92652bbb6c66918568368e393c3c25ee5c9b3b51ba1ca114	8.0s 720x1280	1	
2	1	8	@yai__face,@sia__face,@kla__face,@lan__busy,@sack,@yard_scale,@yai__collect,@sia__boss,@kla__school	10c1443625b4ef1bb0be4e04f79a8bfbfa0c87c36ba87f33a1afd2c77bd91671	verified		/Users/gob/MoonieXHQ/Work/task-c2723478/out/ACT1/shot-02.mp4	22ea428c2687152e227dd0a27fa236e7a336d4a0342e43fad02c46b0ebbf412e	8.0s 720x1280	1	
3	1	8	@yai__face,@sia__face,@lan__busy,@wallet,@yai__collect,@sia__boss	f485e054523ea30447016560dceb199a1cb4eda459f229fdc932fe1f2e9e3c69	verified		/Users/gob/MoonieXHQ/Work/task-c2723478/out/ACT1/shot-03.mp4	c10efa354493e5c2780d1558a9f4759326a97144f6cc998215bba1538d4395f6	8.0s 720x1280	1	
4	1	8	@sia__face,@yai__face,@lan__busy,@wallet,@sia__boss,@yai__collect	3ea7ee8d2513e5343074705655010601be688843d5ac2edf25dcd3542c4f224c	verified		/Users/gob/MoonieXHQ/Work/task-c2723478/out/ACT1/shot-04.mp4	bdcf3b9de91e6fe5b502a566acb4a46648feaf7905d380dcb7b990027dbdcec9	8.0s 720x1280	1	
5	1	8	@sia__face,@kla__face,@lan__busy,@sia__boss,@kla__school	e7f7e172cb7620112d38d1da7167103db774e001bed4b540fddebff9af6dc680	verified		/Users/gob/MoonieXHQ/Work/task-c2723478/out/ACT1/shot-05.mp4	9a1d7ce1b1e17e55ce8f06dc559d63dd26db9e4d0fbb8f2f56da4dc793bf8eb9	8.0s 720x1280	2	
6	1	8	@tor__face,@yai__face,@baan__inside,@jar__third,@tor__home,@yai__home	dde336bad205aede661b7a9d7ad5def247c2c5dfefaf5885f0cd4ff764109775	verified		/Users/gob/MoonieXHQ/Work/task-c2723478/out/ACT1/shot-06.mp4	129682c375008af5168b576f06d2666add4d2473f3f9df9a26acb2f4fb6b0425	8.0s 720x1280	1	
7	1	8	@yai__face,@tor__face,@baan__inside,@yai__home,@tor__home	cb045159d91f5e85012841a36e5e6cf895fced190e5237b1ecda2d417813d959	verified		/Users/gob/MoonieXHQ/Work/task-c2723478/out/ACT1/shot-07.mp4	6b071c6b490be001601c28baa054f73b3a016df3453cd7973caa242a2046757c	8.0s 720x1280	3	
8	1	8	@sia__face,@kla__face,@lan__busy,@sia__boss,@kla__school	a6aeddadb7a4eb8177ec39f72ee8f0b00cf86d8a8202099d4e971e32ae27fe40	verified		/Users/gob/MoonieXHQ/Work/task-c2723478/out/ACT1/shot-08.mp4	157daa3950981cc4dfc37e2cc34df6c81fe434552b3c244f4b7974b469b7f391	8.0s 720x1280	1	
9	1	8	@yai__face,@sia__face,@kla__face,@lan__busy,@cart,@sack,@yard_scale,@yai__collect,@sia__boss,@kla__school	1b617bbb545bc56642994cf442580940a80d485ecc095b5d3e852267671e37d3	verified		/Users/gob/MoonieXHQ/Work/task-c2723478/out/ACT1/shot-09.mp4	ab8fc96c1e48e0b967acb7f0bb28c2ab07db825488eddcb329a1b11e1dd5633f	8.0s 720x1280	1	
10	1	8	@sia__face,@pa__face,@yai__face,@lan__busy,@sack,@yard_scale,@sia__boss,@pa__collect,@yai__collect	5fec72b2496bc36bcf472e88f7252e21146288e548053433e37089485b3aae3e	verified		/Users/gob/MoonieXHQ/Work/task-c2723478/out/ACT1/shot-10.mp4	f6b35967cdffd854ca7b57ecae17287246c8dc54c387eba8cf1b3e3743e9c2d9	8.0s 720x1280	1	
11	1	8	@yai__face,@sia__face,@lan__busy,@yard_scale,@yai__collect,@sia__boss	b2bf18d4875c9a1a83ec1027a1e188748256745d7ff656105a392e1b7e13db40	verified		/Users/gob/MoonieXHQ/Work/task-c2723478/out/ACT1/shot-11.mp4	ba1c56d6f892a46463b3443bff6c42173752a4acea7edfe863ad02039927de4d	8.0s 720x1280	1	
