"DisplayName","DisplayVersion","Publisher","InstallLocation"
"Adobe Acrobat (64-bit)","26.002.21931","Adobe","C:\Program Files\Adobe\Acrobat DC\"
"Adobe Refresh Manager","1.8.0","Adobe Systems Incorporated","C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\"
"AMD Chipset Software","8.08.12.551","Advanced Micro Devices, Inc.",
"AMD DVR64","1.0.2","Advanced Micro Devices, Inc.",""
"AMD GPIO2 Driver","2.2.0.136","Advanced Micro Devices, Inc.",""
"AMD Install Manager","26.10.26174.0747","Advanced Micro Devices, Inc.","C:\Program Files\AMD\AMDInstallManager\"
"AMD PCI Driver","1.0.0.90","Advanced Micro Devices, Inc.",""
"AMD PSP Driver","5.40.0.0","Advanced Micro Devices, Inc.",""
"AMD Ryzen Balanced Driver","8.0.1.13","Advanced Micro Devices, Inc.",""
"AMD SBxxx SMBus Driver","5.12.0.44","Advanced Micro Devices, Inc.",""
"AMD Settings","2026.0808.1636.2068","Advanced Micro Devices, Inc.",""
"AMD Software","26.8.1","Advanced Micro Devices, Inc.","C:\Program Files\AMD\CIM\BIN64"
"AMD User Experience Program Installer","2510.45.05.808","Advanced Micro Devices, Inc.",""
"AMD WVR64","1.0.2","Advanced Micro Devices, Inc.",""
"AMD_Chipset_Drivers","8.08.12.551","Advanced Micro Devices, Inc.","C:\Chipset_Software\"
"Antigravity 2.15.1","2.15.1","Google",
"Application Verifier x64 External Package (DesktopEditions)","10.1.26100.7705","Microsoft",""
"Application Verifier x64 External Package (OnecoreUAP)","10.1.26100.7705","Microsoft",""
"Blackmagic RAW Common Components","6.0","Blackmagic Design",""
"Blender","5.2.1","Blender Foundation","C:\Program Files\Blender Foundation\Blender 5.2\"
"BlueStacks","5.22.260.1026","now.gg, Inc.",
"BlueStacks Services","3.0.9","now.gg, Inc.",
"Bonjour","3.1.0.1","Apple Inc.","C:\Program Files (x86)\Bonjour\"
"Branding64","1.00.0009","Advanced Micro Devices, Inc.",""
"Copilot","153.0.4234.48","Microsoft Corporation","C:\Program Files (x86)\Microsoft\Copilot\Application"
"Core Temp 1.18.1","1.18.1","ALCPU","C:\Program Files\Core Temp\"
"CPUID CPU-Z 2.16","2.16","CPUID, Inc.","C:\Program Files\CPUID\CPU-Z\"
"CurseForge 1.321.1-39714","1.321.1-39714","Overwolf",
"DaVinci Resolve","21.1.00017","Blackmagic Design",""
