"Name","DisplayName","Status"
"AdobeARMservice","Adobe Acrobat Update Service","Running"
"AMD Crash Defender Service","AMD Crash Defender Service","Running"
"AMD External Events Utility","AMD External Events Utility","Running"
"AppXSvc","AppX Deployment Service (AppXSVC)","Running"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running"
"Audiosrv","Windows Audio","Running"
"AUEPLauncher","AMD User Experience Program Data Uploader","Running"
"BFE","Base Filtering Engine","Running"
"BITS","Background Intelligent Transfer Service","Running"
"Bonjour Service","Bonjour Service","Running"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running"
"camsvc","Capability Access Manager Service","Running"
"cbdhsvc_74d38","cbdhsvc_74d38","Running"
"CDPSvc","Connected Devices Platform Service","Running"
"CDPUserSvc_74d38","CDPUserSvc_74d38","Running"
"CodexSandboxService.OpenAI.Codex","ChatGPT","Running"
"CoreMessagingRegistrar","CoreMessaging","Running"
"CortexLauncherService","CortexLauncherService","Running"
"CoworkVMService","Claude","Running"
"CryptSvc","Cryptographic Services","Running"
"DcomLaunch","DCOM Server Process Launcher","Running"
"Dhcp","DHCP Client","Running"
"DiagTrack","Connected User Experiences and Telemetry","StartPending"
"DispBrokerDesktopSvc","Display Policy Service","Running"
"Dnscache","DNS Client","Running"
"DoSvc","Delivery Optimization","Stopped"
"DPS","Diagnostic Policy Service","Running"
"DusmSvc","Data Usage","Running"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)","Stopped"
"EventLog","Windows Event Log","Running"
"EventSystem","COM+ Event System","Running"
"FontCache","Windows Font Cache Service","Running"
"GoogleUpdaterInternalService152.0.7933.0","Google Updater Internal Service (GoogleUpdaterInternalService152.0.7933.0)","Stopped"
"GoogleUpdaterService152.0.7933.0","Google Updater Service (GoogleUpdaterService152.0.7933.0)","Stopped"
"gpsvc","Group Policy Client","Running"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Running"
"Intel(R) Platform License Manager Service","Intel(R) Platform License Manager Service","Stopped"
"InventorySvc","Inventory and Compatibility Appraisal service","Running"
"iphlpsvc","IP Helper","Running"
"jhi_service","Intel(R) Dynamic Application Loader Host Interface Service","Running"
"LanmanServer","Server","Running"
"LanmanWorkstation","Workstation","Running"
"LSM","Local Session Manager","Running"
"MapsBroker","Downloaded Maps Manager","Stopped"
"MDCoreSvc","Microsoft Defender Core Service","Running"
"mpssvc","Windows Defender Firewall","Running"
"nsi","Network Store Interface Service","Running"
"PcaSvc","Program Compatibility Assistant Service","Running"
"Power","Power","Running"
"ProfSvc","User Profile Service","Running"
"Razer Game Manager Service 3","Razer Game Manager Service 3","Running"
"RpcEptMapper","RPC Endpoint Mapper","Running"
"RpcSs","Remote Procedure Call (RPC)","Running"
"RTUsbSwSrvc","RTUsbSwSrvc","Running"
"RzActionSvc","Razer Central Service","Running"
"SamSs","Security Accounts Manager","Running"
"Schedule","Task Scheduler","Running"
"SENS","System Event Notification Service","Running"
"ShellHWDetection","Shell Hardware Detection","Running"
"Spooler","Print Spooler","Stopped"
"sppsvc","Software Protection","Stopped"
"sshd","OpenSSH SSH Server","Running"
"StateRepository","State Repository Service","Running"
"StiSvc","Windows Image Acquisition (WIA)","Stopped"
"StorSvc","Storage Service","Running"
"SysMain","SysMain","Stopped"
"SystemEventsBroker","System Events Broker","Running"
"Tailscale","Tailscale","Running"
"TextInputManagementService","Text Input Management Service","Running"
"Themes","Themes","Running"
"TrkWks","Distributed Link Tracking Client","Stopped"
"tvnserver","TightVNC Server","Running"
"UserManager","User Manager","Running"
"UsoSvc","Update Orchestrator Service","Running"
"W32Time","Windows Time","Stopped"
"Wcmsvc","Windows Connection Manager","Running"
"webthreatdefusersvc_74d38","webthreatdefusersvc_74d38","Running"
"whesvc","Windows Health and Optimized Experiences","Running"
"WinDefend","Microsoft Defender Antivirus Service","Running"
"Winmgmt","Windows Management Instrumentation","Running"
"WlanSvc","WLAN AutoConfig","Running"
"WMIRegistrationService","Intel(R) Management Engine WMI Provider Registration","Running"
"WpnService","Windows Push Notifications System Service","Running"
"WpnUserService_74d38","WpnUserService_74d38","Running"
"WSAIFabricSvc","Windows AI Components Host","Running"
"wscsvc","Security Center","Running"
"WSearch","Windows Search","Running"
"WSLService","WSL Service","Running"
