"Name","Command","Location"
"RazerAppEngine","""C:\Program Files\Razer\RazerAppEngine\RazerAppEngine.exe"" --url-params=apps=synapse,chroma-app --launch-force-hidden=synapse,chroma-app","HKU\S-1-5-18\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"AMDNoiseSuppression","""C:\WINDOWS\system32\AMD\ANR\AMDNoiseSuppression.exe""","HKU\S-1-5-18\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"OneDriveSetup","C:\Windows\System32\OneDriveSetup.exe /thfirstsetup","HKU\S-1-5-19\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"OneDriveSetup","C:\Windows\System32\OneDriveSetup.exe /thfirstsetup","HKU\S-1-5-20\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"Hermes_Gateway","Hermes_Gateway.vbs","Startup"
"OneDrive","""C:\Users\UsEr\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" /background","HKU\S-1-5-21-3709797019-1180913802-353008731-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"AMDNoiseSuppression","""C:\WINDOWS\system32\AMD\ANR\AMDNoiseSuppression.exe""","HKU\S-1-5-21-3709797019-1180913802-353008731-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"Steam","""C:\Program Files (x86)\Steam\steam.exe"" -silent","HKU\S-1-5-21-3709797019-1180913802-353008731-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"electron.app.CurseForge","C:\Users\UsEr\AppData\Local\Programs\CurseForge Windows\CurseForge.exe --minimized","HKU\S-1-5-21-3709797019-1180913802-353008731-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"electron.app.Notion","C:\Users\UsEr\AppData\Local\Programs\Notion\Notion.exe --open-at-login","HKU\S-1-5-21-3709797019-1180913802-353008731-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"LINE","""C:\Users\UsEr\AppData\Local\LINE\bin\LineLauncher.exe"" --booting","HKU\S-1-5-21-3709797019-1180913802-353008731-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"ScreenRec","C:\Users\UsEr\AppData\Local\StreamingVideoProvider\ScreenRec_app\screenrec.exe","HKU\S-1-5-21-3709797019-1180913802-353008731-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"Adobe Acrobat Synchronizer","""C:\Program Files\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe""","HKU\S-1-5-21-3709797019-1180913802-353008731-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"electron.app.BlueStacks Services","C:\Users\UsEr\AppData\Local\Programs\bluestacks-services\BlueStacksServices.exe --hidden","HKU\S-1-5-21-3709797019-1180913802-353008731-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"GoogleChromeAutoLaunch_33C184B1163639E864B55C4E7B433910","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --startup-foreground-launch","HKU\S-1-5-21-3709797019-1180913802-353008731-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"MicrosoftEdgeAutoLaunch_9753CA8F50D4BDE18BADFE70D53BDDB5","""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --no-startup-window --win-session-start","HKU\S-1-5-21-3709797019-1180913802-353008731-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"RazerAppEngine","""C:\Program Files\Razer\RazerAppEngine\RazerAppEngine.exe"" --url-params=apps=synapse,chroma-app --launch-force-hidden=synapse,chroma-app","HKU\.DEFAULT\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"AMDNoiseSuppression","""C:\WINDOWS\system32\AMD\ANR\AMDNoiseSuppression.exe""","HKU\.DEFAULT\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"Tailscale","C:\PROGRA~1\TAILSC~1\TAILSC~1.EXE ","Common Startup"
"SecurityHealth","%windir%\system32\SecurityHealthSystray.exe","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"RazerCortex","""C:\Program Files (x86)\Razer\Razer Cortex\RazerCortex.exe"" -autorun","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"StartAUEP","""C:\Program Files\AMD\Performance Profile Client\AUEPMaster.exe""","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
"tvncontrol","""C:\Program Files\TightVNC\tvnserver.exe"" -controlservice -slave","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run"
